250 1
245 1
240 1
235 1
230 1
225 1
220 1
215 1
210 1
205 1
200 1
195 1
190 1
185 1
180 1
175 1
170 1
165 0.933333333333333
160 1
155 1
150 0.933333333333333
145 0.933333333333333
140 0.933333333333333
135 0.933333333333333
130 0.933333333333333
125 0.866666666666667
120 0.8
115 1
110 0.933333333333333
105 0.866666666666667
100 0.933333333333333
95 0.866666666666667
90 0.933333333333333
85 0.933333333333333
80 0.933333333333333
75 0.866666666666667
70 0.8
65 0.8
60 0.8
55 0.733333333333333
50 0.733333333333333
45 0.8
40 0.6
35 0.6
30 0.466666666666667
25 0.333333333333333
20 0.0666666666666667
15 0.133333333333333
10 0.133333333333333
5 0
